# Threshold	Compression	Recovery
0.5	1.42744	0.279944
1	1.42744	0.279944
1.5	1.49583	0.262535
2	1.7177	0.246518
2.5	2.36573	0.110724
3	2.63004	0.086351
3.5	3.55446	0.163649
4	3.46024	0.166435
4.5	3.95592	0.0926184
5	2.95473	0.0856546
5.5	2.68411	0.185237
6	3.66327	0.0940111
6.5	4.78667	0.0417827
7	2.62044	0.350975
7.5	2.62523	0.351671
8	6.8381	0.154596
8.5	6.8381	0.148329
9	6.8381	0.157382
9.5	1.48808	0.676184
10	1.48808	0.676184
