# Threshold	Compression	Recovery
1	1.33706	0.256964
2	1.33706	0.256964
3	1.57976	0.220752
4	1.97796	0.205432
5	2.67412	0.153203
6	2.81569	0.158774
7	5.37828	0.0954039
8	9.03145	0.0814763
9	15.4409	0.0292479
10	26.5926	0.0215877
11	26.5926	0.0236769
12	31.9111	0.0278552
13	43.5152	0.025766
14	43.5152	0.025766
15	43.5152	0.025766
16	119.667	0.020195
17	119.667	0.020195
18	119.667	0.020195
19	239.333	0.0188022
20	239.333	0.0167131
